date,symbol,close
2025-01-01,QQQ,518.43
2025-02-01,BTC,84373.01
2025-02-01,GLD,263.27
2025-02-01,QQQ,504.41
2025-03-01,BTC,82548.91
2025-03-01,GLD,288.14
2025-03-01,QQQ,466.15
2025-04-01,BTC,94207.31
2025-04-01,GLD,303.77
2025-04-01,QQQ,472.66
2025-05-01,BTC,104638.09
2025-05-01,GLD,303.60
2025-05-01,QQQ,516.04
2025-06-01,BTC,107135.34
2025-06-01,GLD,304.83
2025-06-01,QQQ,549.00
2025-07-01,BTC,115758.20
2025-07-01,GLD,302.96
2025-07-01,QQQ,562.30
2025-08-01,BTC,108236.71
2025-08-01,GLD,318.07
2025-08-01,QQQ,567.67
2025-09-01,BTC,114056.09
2025-09-01,GLD,355.47
2025-09-01,QQQ,598.19
2025-10-01,BTC,109556.16
2025-10-01,GLD,368.12
2025-10-01,QQQ,626.78
2025-11-01,BTC,90394.31
2025-11-01,GLD,387.88
2025-11-01,QQQ,617.00
2025-12-01,BTC,87508.83
2025-12-01,GLD,396.31
2025-12-01,QQQ,612.86
2026-01-01,BTC,78621.12
2026-01-01,GLD,444.95
2026-01-01,QQQ,620.41
2026-02-01,BTC,66995.86
2026-02-01,GLD,483.75
2026-02-01,QQQ,605.86
2026-03-01,BTC,68233.31
2026-03-01,GLD,430.29
2026-03-01,QQQ,576.55
2026-04-01,BTC,76304.32
2026-04-01,GLD,423.66
2026-04-01,QQQ,667.01
2026-05-01,BTC,73579.69
2026-05-01,GLD,417.12
2026-05-01,QQQ,737.50
2026-06-01,BTC,58558.86
2026-06-01,GLD,368.38
2026-06-01,QQQ,736.40
2026-07-01,BTC,62813.75
2026-07-01,GLD,371.54
2026-07-01,QQQ,687.99
2026-08-01,BTC,78548.63
2026-08-01,GLD,408.42
2026-08-01,QQQ,716.76
2026-08-10,GLD,402.54
2026-08-10,QQQ,720.87
2026-08-11,GLD,400.96
2026-08-11,QQQ,718.45
2026-08-12,GLD,404.92
2026-08-12,QQQ,723.70
2026-08-13,GLD,398.96
2026-08-13,QQQ,732.07
2026-08-14,GLD,401.48
2026-08-14,QQQ,731.07
2026-08-17,GLD,405.49
2026-08-17,QQQ,729.87
2026-08-18,GLD,398.55
2026-08-18,QQQ,717.51
2026-08-19,GLD,413.84
2026-08-19,QQQ,716.08
2026-08-20,GLD,415.26
2026-08-20,QQQ,710.93
2026-08-21,GLD,423.36
2026-08-21,QQQ,713.44
2026-08-24,GLD,426.69
2026-08-24,QQQ,706.32
2026-08-25,GLD,428.07
2026-08-25,QQQ,710.72
2026-08-26,GLD,421.32
2026-08-26,QQQ,711.37
2026-08-27,GLD,422.60
2026-08-27,QQQ,721.11
2026-08-28,GLD,408.89
2026-08-28,QQQ,716.43
2026-08-30,BTC,77681.6
2026-08-30,PAXG,4454.40
2026-08-31,BTC,78566.1
2026-08-31,GLD,408.42
2026-08-31,PAXG,4449.97
2026-08-31,QQQ,716.76
2026-09-01,BTC,78438.58
2026-09-01,GLD,399.72
2026-09-01,PAXG,4335.61
2026-09-01,QQQ,718.36
2026-09-02,BTC,77305.1
2026-09-02,GLD,402.78
2026-09-02,PAXG,4392.00
2026-09-02,QQQ,709.24
2026-09-03,BTC,81276.1
2026-09-03,GLD,410.22
2026-09-03,PAXG,4481.32
2026-09-03,QQQ,717.67
2026-09-04,BTC,79676.4
2026-09-04,GLD,406.77
2026-09-04,PAXG,4432.12
2026-09-04,QQQ,718.96
2026-09-05,BTC,79828.4
2026-09-05,PAXG,4431.73
2026-09-06,BTC,80334.3
2026-09-06,PAXG,4425.15
2026-09-07,BTC,79090.3
2026-09-07,PAXG,4420.46
2026-09-08,BTC,78449.6
2026-09-08,GLD,399.72
2026-09-08,PAXG,4357.34
2026-09-08,QQQ,718.36
2026-09-09,BTC,78288.6
2026-09-09,GLD,403.35
2026-09-09,PAXG,4393.57
2026-09-09,QQQ,716.31
