as_of,sleeve,call,dist_pct,confidence,close,next_close,next_ret_pct,result,scored_on,source
2015-10-06,QQQ,FLAT,-2.27,MEDIUM,97.13,97.72,0.607,WRONG,2015-10-07,BACKFILL
2015-10-07,BTC,FLAT,-2.1,MEDIUM,242.97,242.3,-0.276,RIGHT,2015-10-08,BACKFILL
2015-10-07,GLD,HELD,-1.35,LOW,109.7,109.14,-0.51,WRONG,2015-10-08,BACKFILL
2015-10-07,QQQ,FLAT,-1.66,LOW,97.72,98.1,0.389,WRONG,2015-10-08,BACKFILL
2015-10-08,BTC,FLAT,-2.29,MEDIUM,242.3,243.93,0.673,WRONG,2015-10-09,BACKFILL
2015-10-08,GLD,HELD,-1.84,LOW,109.14,110.87,1.585,RIGHT,2015-10-09,BACKFILL
2015-10-08,QQQ,FLAT,-1.28,LOW,98.1,98.55,0.459,WRONG,2015-10-09,BACKFILL
2015-10-09,BTC,FLAT,-1.51,LOW,243.93,245.31,0.566,WRONG,2015-10-12,BACKFILL
2015-10-09,GLD,HELD,-0.27,LOW,110.87,111.31,0.397,RIGHT,2015-10-12,BACKFILL
2015-10-09,QQQ,FLAT,-0.82,LOW,98.55,98.79,0.244,WRONG,2015-10-12,BACKFILL
2015-10-12,BTC,FLAT,-0.83,LOW,245.31,249.51,1.712,WRONG,2015-10-13,BACKFILL
2015-10-12,GLD,HELD,0.12,LOW,111.31,111.86,0.494,RIGHT,2015-10-13,BACKFILL
2015-10-12,QQQ,FLAT,-0.59,LOW,98.79,98.15,-0.648,RIGHT,2015-10-13,BACKFILL
2015-10-13,BTC,LONG,0.99,LOW,249.51,251.99,0.994,RIGHT,2015-10-14,BACKFILL
2015-10-13,GLD,HELD,0.61,LOW,111.86,113.81,1.743,RIGHT,2015-10-14,BACKFILL
2015-10-13,QQQ,FLAT,-1.24,LOW,98.15,97.99,-0.163,RIGHT,2015-10-14,BACKFILL
2015-10-14,BTC,LONG,2.11,MEDIUM,251.99,254.32,0.925,RIGHT,2015-10-15,BACKFILL
2015-10-14,GLD,HELD,2.34,MEDIUM,113.81,113.29,-0.457,WRONG,2015-10-15,BACKFILL
2015-10-14,QQQ,FLAT,-1.41,LOW,97.99,99.6,1.643,WRONG,2015-10-15,BACKFILL
2015-10-15,BTC,LONG,3.14,MEDIUM,254.32,262.87,3.362,RIGHT,2015-10-16,BACKFILL
2015-10-15,GLD,HELD,1.86,LOW,113.29,112.49,-0.706,WRONG,2015-10-16,BACKFILL
2015-10-15,QQQ,LONG,0.19,LOW,99.6,100.02,0.422,RIGHT,2015-10-16,BACKFILL
2015-10-16,BTC,LONG,6.69,HIGH,262.87,263.44,0.217,RIGHT,2015-10-19,BACKFILL
2015-10-16,GLD,HELD,1.13,LOW,112.49,112.02,-0.418,WRONG,2015-10-19,BACKFILL
2015-10-16,QQQ,LONG,0.6,LOW,100.02,100.59,0.57,RIGHT,2015-10-19,BACKFILL
2015-10-19,BTC,LONG,6.99,HIGH,263.44,269.46,2.285,RIGHT,2015-10-20,BACKFILL
2015-10-19,GLD,HELD,0.7,LOW,112.02,112.73,0.634,RIGHT,2015-10-20,BACKFILL
2015-10-19,QQQ,LONG,1.16,LOW,100.59,100.08,-0.507,WRONG,2015-10-20,BACKFILL
2015-10-20,BTC,LONG,9.39,HIGH,269.46,266.27,-1.184,WRONG,2015-10-21,BACKFILL
2015-10-20,GLD,HELD,1.34,LOW,112.73,111.73,-0.887,WRONG,2015-10-21,BACKFILL
2015-10-20,QQQ,LONG,0.64,LOW,100.08,99.46,-0.62,WRONG,2015-10-21,BACKFILL
2015-10-21,BTC,LONG,8.08,HIGH,266.27,274.02,2.911,RIGHT,2015-10-22,BACKFILL
2015-10-21,GLD,HELD,0.44,LOW,111.73,111.69,-0.036,WRONG,2015-10-22,BACKFILL
2015-10-21,QQQ,LONG,0.01,LOW,99.46,101.49,2.041,RIGHT,2015-10-22,BACKFILL
2015-10-22,BTC,LONG,11.19,HIGH,274.02,276.5,0.905,RIGHT,2015-10-23,BACKFILL
2015-10-22,GLD,HELD,0.42,LOW,111.69,111.5,-0.17,WRONG,2015-10-23,BACKFILL
2015-10-22,QQQ,LONG,2.04,MEDIUM,101.49,104.33,2.798,RIGHT,2015-10-23,BACKFILL
2015-10-23,BTC,LONG,12.17,HIGH,276.5,285.3,3.183,RIGHT,2015-10-26,BACKFILL
